Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFile,CountDeclFunction,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountPath,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Function,"NOOP_Translations::get_plural_forms_count",,,,,,,,,,,,3,,,3,0,,,0,3,,3,0,,,0,1,,1,,1,1,,1,1,1,1,1,,,0,,,,,
Public Function,"NOOP_Translations::merge_with",,,,,,,,,,,,2,,,2,0,,,0,2,,2,0,,,0,1,,1,,1,0,,0,1,1,1,1,,,0,,,,,
Public Function,"NOOP_Translations::select_plural_form",,,,,,,,,,,,3,,,3,0,,,0,3,,3,0,,,0,1,,1,,1,1,,1,2,2,2,1,,,0,,,,,
Public Function,"NOOP_Translations::set_header",,,,,,,,,,,,2,,,2,0,,,0,2,,2,0,,,0,1,,1,,1,0,,0,1,1,1,1,,,0,,,,,
Public Function,"NOOP_Translations::set_headers",,,,,,,,,,,,2,,,2,0,,,0,2,,2,0,,,0,1,,1,,1,0,,0,1,1,1,1,,,0,,,,,
Public Function,"NOOP_Translations::translate",,,,,,,,,,,,3,,,3,0,,,0,3,,3,0,,,0,1,,1,,1,1,,1,1,1,1,1,,,0,,,,,
Public Function,"NOOP_Translations::translate_entry",,,,,,,,,,,,3,,,3,0,,,0,3,,3,0,,,0,1,,1,,1,1,,1,1,1,1,1,,,0,,,,,
Public Function,"NOOP_Translations::translate_plural",,,,,,,,,,,,3,,,3,0,,,0,3,,3,0,,,0,1,,1,,1,1,,1,2,2,2,1,,,0,,,,,
Function,"NativeListBox",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,1,,1,1,,2,2,,1,1,1,1,,,0,,,,,
Function,"O",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,2,,4,4,,7,7,,2,2,4,1,,,1,,,,,
Function,"Outdent",,,,,,,,,,,,0,,0,,0,,0,,0,0,,0,,0,,2,,3,3,,9,9,,2,2,4,1,,,1,,,,,
