Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFile,CountDeclFunction,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountPath,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"/Users/sbicer/Desktop/akademik/drupal/drupal-6.16/themes/garland/template.php",2,2,2,1,7,0,7,0,0,,8,99,0,0,99,12,0,0,12,58,0,58,29,0,0,29,1,31,9,0,9,22,0,22,1,1,1,1,5,5,2,0.50,16,16,18,8
File,"/Users/sbicer/Desktop/akademik/drupal/drupal-6.16/themes/pushbutton/block.tpl.php",0,0,0,0,0,0,0,0,0,,0,7,0,0,7,0,0,0,0,6,0,6,1,0,0,1,1,4,0,0,0,4,0,4,1,1,1,1,1,1,0,0.17,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/drupal/drupal-6.16/themes/pushbutton/box.tpl.php",0,0,0,0,0,0,0,0,0,,0,9,0,0,9,0,0,0,0,8,0,8,1,0,0,1,2,3,0,0,0,3,0,3,2,2,2,1,2,2,1,0.12,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/drupal/drupal-6.16/themes/pushbutton/comment.tpl.php",0,0,0,0,0,0,0,0,0,,0,22,0,0,22,0,0,0,0,21,0,21,1,0,0,1,8,11,0,0,0,11,0,11,4,4,4,1,4,4,1,0.05,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/drupal/drupal-6.16/themes/pushbutton/node.tpl.php",0,0,0,0,0,0,0,0,0,,0,15,0,0,15,0,0,0,0,14,0,14,1,0,0,1,16,13,0,0,0,13,0,13,5,5,5,1,5,5,1,0.07,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/drupal/drupal-6.16/themes/pushbutton/page.tpl.php",0,0,0,0,0,0,0,0,0,,0,120,0,0,120,16,0,0,16,103,0,103,1,0,0,1,6144,48,0,0,0,48,0,48,14,14,16,1,14,14,2,0.01,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/drupal/drupal-6.16/themes/pushbutton/style-rtl.css",0,0,0,0,0,0,0,0,0,,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/drupal/drupal-6.16/themes/pushbutton/style.css",0,0,0,0,0,0,0,0,0,,0,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/drupal/drupal-6.16/update.php",4,4,5,1,26,2,22,1,0,,16,665,0,0,665,71,0,0,71,433,0,433,161,0,0,161,66,277,18,0,18,259,0,259,13,10,18,9,13,12,6,0.37,73,73,85,21
File,"/Users/sbicer/Desktop/akademik/drupal/drupal-6.16/xmlrpc.php",0,0,0,0,0,0,0,0,0,,0,14,0,0,14,3,0,0,3,6,0,6,5,0,0,5,1,5,0,0,0,5,0,5,1,1,1,1,1,1,0,0.83,0,0,0,0
