Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFile,CountDeclFunction,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountPath,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"/Users/sbicer/Desktop/akademik/pyrocms/pyrocms-2.2.2/system/cms/themes/pyrocms/js/ckeditor/lang/da.js",0,0,0,0,0,0,0,0,0,,0,5,0,5,0,0,0,0,0,1,1,0,4,0,4,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,4.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/pyrocms/pyrocms-2.2.2/system/cms/themes/pyrocms/js/ckeditor/lang/de.js",0,0,0,0,0,0,0,0,0,,0,5,0,5,0,0,0,0,0,1,1,0,4,0,4,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,4.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/pyrocms/pyrocms-2.2.2/system/cms/themes/pyrocms/js/ckeditor/lang/el.js",0,0,0,0,0,0,0,0,0,,0,5,0,5,0,0,0,0,0,1,1,0,4,0,4,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,4.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/pyrocms/pyrocms-2.2.2/system/cms/themes/pyrocms/js/ckeditor/lang/en-au.js",0,0,0,0,0,0,0,0,0,,0,5,0,5,0,0,0,0,0,1,1,0,4,0,4,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,4.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/pyrocms/pyrocms-2.2.2/system/cms/themes/pyrocms/js/ckeditor/lang/en-ca.js",0,0,0,0,0,0,0,0,0,,0,5,0,5,0,0,0,0,0,1,1,0,4,0,4,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,4.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/pyrocms/pyrocms-2.2.2/system/cms/themes/pyrocms/js/ckeditor/lang/en-gb.js",0,0,0,0,0,0,0,0,0,,0,5,0,5,0,0,0,0,0,1,1,0,4,0,4,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,4.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/pyrocms/pyrocms-2.2.2/system/cms/themes/pyrocms/js/ckeditor/lang/en.js",0,0,0,0,0,0,0,0,0,,0,5,0,5,0,0,0,0,0,1,1,0,4,0,4,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,4.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/pyrocms/pyrocms-2.2.2/system/cms/themes/pyrocms/js/ckeditor/lang/eo.js",0,0,0,0,0,0,0,0,0,,0,5,0,5,0,0,0,0,0,1,1,0,4,0,4,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,4.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/pyrocms/pyrocms-2.2.2/system/cms/themes/pyrocms/js/ckeditor/lang/es.js",0,0,0,0,0,0,0,0,0,,0,5,0,5,0,0,0,0,0,1,1,0,4,0,4,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,4.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/pyrocms/pyrocms-2.2.2/system/cms/themes/pyrocms/js/ckeditor/lang/et.js",0,0,0,0,0,0,0,0,0,,0,5,0,5,0,0,0,0,0,1,1,0,4,0,4,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,4.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/pyrocms/pyrocms-2.2.2/system/cms/themes/pyrocms/js/ckeditor/lang/eu.js",0,0,0,0,0,0,0,0,0,,0,5,0,5,0,0,0,0,0,1,1,0,4,0,4,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,4.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/pyrocms/pyrocms-2.2.2/system/cms/themes/pyrocms/js/ckeditor/lang/fa.js",0,0,0,0,0,0,0,0,0,,0,5,0,5,0,0,0,0,0,1,1,0,4,0,4,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,4.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/pyrocms/pyrocms-2.2.2/system/cms/themes/pyrocms/js/ckeditor/lang/fi.js",0,0,0,0,0,0,0,0,0,,0,5,0,5,0,0,0,0,0,1,1,0,4,0,4,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,4.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/pyrocms/pyrocms-2.2.2/system/cms/themes/pyrocms/js/ckeditor/lang/fo.js",0,0,0,0,0,0,0,0,0,,0,5,0,5,0,0,0,0,0,1,1,0,4,0,4,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,4.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/pyrocms/pyrocms-2.2.2/system/cms/themes/pyrocms/js/ckeditor/lang/fr-ca.js",0,0,0,0,0,0,0,0,0,,0,5,0,5,0,0,0,0,0,1,1,0,4,0,4,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,4.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/pyrocms/pyrocms-2.2.2/system/cms/themes/pyrocms/js/ckeditor/lang/fr.js",0,0,0,0,0,0,0,0,0,,0,5,0,5,0,0,0,0,0,1,1,0,4,0,4,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,4.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/pyrocms/pyrocms-2.2.2/system/cms/themes/pyrocms/js/ckeditor/lang/gl.js",0,0,0,0,0,0,0,0,0,,0,5,0,5,0,0,0,0,0,1,1,0,4,0,4,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,4.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/pyrocms/pyrocms-2.2.2/system/cms/themes/pyrocms/js/ckeditor/lang/gu.js",0,0,0,0,0,0,0,0,0,,0,5,0,5,0,0,0,0,0,1,1,0,4,0,4,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,4.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/pyrocms/pyrocms-2.2.2/system/cms/themes/pyrocms/js/ckeditor/lang/he.js",0,0,0,0,0,0,0,0,0,,0,5,0,5,0,0,0,0,0,1,1,0,4,0,4,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,4.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/pyrocms/pyrocms-2.2.2/system/cms/themes/pyrocms/js/ckeditor/lang/hi.js",0,0,0,0,0,0,0,0,0,,0,5,0,5,0,0,0,0,0,1,1,0,4,0,4,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,4.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/pyrocms/pyrocms-2.2.2/system/cms/themes/pyrocms/js/ckeditor/lang/hr.js",0,0,0,0,0,0,0,0,0,,0,5,0,5,0,0,0,0,0,1,1,0,4,0,4,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,4.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/pyrocms/pyrocms-2.2.2/system/cms/themes/pyrocms/js/ckeditor/lang/hu.js",0,0,0,0,0,0,0,0,0,,0,5,0,5,0,0,0,0,0,1,1,0,4,0,4,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,4.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/pyrocms/pyrocms-2.2.2/system/cms/themes/pyrocms/js/ckeditor/lang/id.js",0,0,0,0,0,0,0,0,0,,0,6,0,6,0,1,0,1,0,1,1,0,4,0,4,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,4.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/pyrocms/pyrocms-2.2.2/system/cms/themes/pyrocms/js/ckeditor/lang/is.js",0,0,0,0,0,0,0,0,0,,0,5,0,5,0,0,0,0,0,1,1,0,4,0,4,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,4.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/pyrocms/pyrocms-2.2.2/system/cms/themes/pyrocms/js/ckeditor/lang/it.js",0,0,0,0,0,0,0,0,0,,0,5,0,5,0,0,0,0,0,1,1,0,4,0,4,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,4.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/pyrocms/pyrocms-2.2.2/system/cms/themes/pyrocms/js/ckeditor/lang/ja.js",0,0,0,0,0,0,0,0,0,,0,5,0,5,0,0,0,0,0,1,1,0,4,0,4,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,4.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/pyrocms/pyrocms-2.2.2/system/cms/themes/pyrocms/js/ckeditor/lang/ka.js",0,0,0,0,0,0,0,0,0,,0,5,0,5,0,0,0,0,0,1,1,0,4,0,4,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,4.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/pyrocms/pyrocms-2.2.2/system/cms/themes/pyrocms/js/ckeditor/lang/km.js",0,0,0,0,0,0,0,0,0,,0,5,0,5,0,0,0,0,0,1,1,0,4,0,4,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,4.00,0,0,0,0
File,"/Users/sbicer/Desktop/akademik/pyrocms/pyrocms-2.2.2/system/cms/themes/pyrocms/js/ckeditor/lang/ko.js",0,0,0,0,0,0,0,0,0,,0,5,0,5,0,0,0,0,0,1,1,0,4,0,4,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,4.00,0,0,0,0
